ID,Reef,Transect,Region,LOAP,LOAP_class,SST,DTS_km,TN,TOC,Cr,Mn,Ni,Cu,Zn,As,Cd,Pb,Chla,Nitrite,Nitrate,Phosphate,Algae,HC_dead,HC_bleached,HC_nonbleached,Turf,CCA,Live_cover,Coral_richness,Shannon_corals,WAT_Shannon_Index_ln,WAT_Species_Richness,WAT_Shannon_functions,WAT_Function_richness,WAT_Alteromonadales,WAT_Bacillota,WAT_Bacteroidota,WAT_Cyanobacteriota,WAT_Desulfovibrionales,WAT_Endozoicomonas,WAT_Flavobacteriales,WAT_Hyphomicrobiales,WAT_Nisaea_spp,WAT_Prochlorococcus_marinus,WAT_Pseudoalteromonas,WAT_Rhodobacterales,WAT_Synechococcus,WAT_Vibrio_spp
JD04_T3,JD04,T3,Jeddah,3,Low,32.22999318,6.56842506,0.098102607,0.505801082,15.1277409,2.259102796,2.500502917,0.764112462,1.37396902,5.051297526,1.908066787,0.0014815,0.18361779,0.09640152,1.34069839,0.05371088,27.47368421,1.157894737,11.47368421,7.47368421,14.94736842,10.21052632,73.05263159,13,2.019941944,3.881029673,716,36,1.85568643,0.0020558,0.015969163,0.132892805,0.160627753,5.51E-05,6.61E-04,0.115253304,0.00537812,0.019493392,0.031681351,7.34E-04,0.024614537,0.117511013,0.002000734
JPR2_T1,JPR2,T1,Jeddah,6.75,High,31.62499319,2.83291872,0.129502833,0.488789886,21.99957815,2.443577304,2.913942206,1.005458514,1.109470576,6.516557688,2.003796667,0.0014815,0.24951414,0.2990512,0.96420641,0.05109957,0,0.524658972,0.94438615,1.99370409,22.2455404,0,26.54774397,6,1.229098604,3.742511848,464,27,1.828903928,5.32E-04,0.011839207,0.167419236,0.17729442,3.67E-05,1.10E-04,0.144218062,0.00510279,0.02448605,0.00435022,2.20E-04,0.038142438,0.167052129,0.001762115
JPR2_T2,JPR2,T2,Jeddah,6.75,High,31.62499319,2.83291872,0.151056618,0.413941354,19.5099159,2.389160004,3.117017963,0.888789253,1.354999481,5.736683626,1.972796179,0.0014815,0.19735495,0.06660073,0.89264684,0.04332881,0.31847134,0.636942675,2.5477707,3.92781317,42.14437368,0.318471338,51.16772825,7,1.364627903,3.691556728,594,33,1.823867306,0.001101322,0.012518355,0.13469163,0.201339941,1.84E-05,2.39E-04,0.123237885,0.004955947,0.020429515,0.005524963,4.59E-04,0.026835536,0.190253304,0.002606461
JPR2_T3,JPR2,T3,Jeddah,6.75,High,31.62499319,2.83291872,0.120281659,0.458817184,20.75474703,2.416368654,3.015480085,0.947123884,1.232235028,6.126620657,1.988296423,0.0014815,0.15109797,0.11650781,0.96377166,0.06772562,0,0,0.63224447,2.31822972,26.13277134,0,31.40147524,7,1.792359427,3.658682624,523,32,1.857445965,4.22E-04,0.01099486,0.137995595,0.189757709,0,1.84E-04,0.122797357,0.004607195,0.022962555,0.005176211,5.51E-05,0.038582966,0.179515419,0.002624816
LIKM_T1,LIKM,T1,Thuwal,6,Medium,32.99249316,2.1545583,0.131611764,0.446596861,22.77,2.65,3.17,1.15,0.77,6.43,2,0.093058361,0.50303433,0.1649368,2.42656909,0.01982701,4.38596491,0.76754386,23.79385965,0.76754386,51.75438596,1.864035088,84.75877193,2,0.362210656,3.611813208,609,28,1.806503288,0.001486784,0.014225404,0.156167401,0.217290749,7.34E-05,2.39E-04,0.134489721,0.008571953,0.032782673,3.67E-05,3.85E-04,0.024834802,0.191997063,0.003671072
LIKM_T2,LIKM,T2,Thuwal,6,Medium,32.99249316,2.1545583,0.13404274,0.528147459,22.62,2.32,3.37,1.02,0.61,5.49,1.86,0.0014815,0.50114318,0.06814403,1.66036878,0.02146961,2.42872228,0.950369588,22.91446674,1.58394931,41.60506864,3.379091869,72.01689546,2,0.244930121,3.572984547,530,25,1.79964854,0.00126652,0.013729809,0.154717327,0.221347283,0,3.67E-04,0.1354442,0.01020558,0.032892805,2.75E-04,4.04E-04,0.02654185,0.198935389,0.00407489
LIKM_T3,LIKM,T3,Thuwal,6,Medium,32.99249316,2.1545583,0.145725399,0.450820953,21.85,2.3,3.29,0.83,2.35,5.47,1.87,0.035933593,0.56870544,0.10511787,1.85348395,0.01896359,1.16156283,0.316789863,18.90179514,0.84477297,48.57444561,1.16156283,71.59450897,2,0.286836077,3.600205027,551,27,1.802141958,0.001578561,0.012628488,0.156204112,0.21174743,3.67E-05,2.94E-04,0.135058737,0.009801762,0.03215859,7.34E-05,2.57E-04,0.024339207,0.186215125,0.003616006
ROSE_T1,ROSE,T1,Thuwal,4,Medium,32.22799318,19.56047768,0.147145629,0.651168108,21.62740899,2.428877333,3.090649536,1.431923192,0.252040974,6.049760375,1.969001733,0.029815438,0.23270271,0.06651379,1.99373374,0.00425391,37.31343284,0,17.59061834,9.48827292,22.17484008,4.264392324,92.53731343,7,0.797988057,3.827973578,480,20,1.822097511,0.002845081,0.021237151,0.107415565,0.172448605,0,0,0.094456681,0.007323789,0.021292217,0.056626285,8.26E-04,0.027698238,0.105506608,8.08E-04
ROSE_T2,ROSE,T2,Thuwal,4,Medium,32.22799318,19.56047768,0.133977845,0.470840186,20.11248828,2.271638371,3.192375794,0.932476062,0.127174253,5.367149255,1.928965733,0.0014815,0.226081,0.05921031,1.33569879,0.00843411,22.95430393,0,14.66524974,3.08182784,38.89479278,6.588735388,91.81721573,7,1.748067429,3.845722551,479,21,1.821273512,0.002863436,0.022136564,0.100385463,0.173292952,5.51E-05,0,0.088748164,0.007562408,0.020741557,0.059801762,8.81E-04,0.026725404,0.100348752,6.24E-04
ROSE_T3,ROSE,T3,Thuwal,4,Medium,32.22799318,19.56047768,0.130053982,0.48708874,20.9872645,2.371329334,3.574360594,1.17334925,0.376907694,5.548889591,1.999789496,0.0014815,0.34737498,0.03643043,1.01689789,0.0152151,14.27038627,0.536480687,11.15879828,2.68240343,39.48497854,4.184549356,76.50214593,7,1.571268875,3.836377476,481,24,1.870460557,0.002312775,0.021457416,0.109563142,0.163087372,0,1.65E-04,0.095484581,0.007819383,0.020447871,0.047118209,4.96E-04,0.02729442,0.104643906,8.44E-04
SNAZ_T1,SNAZ,T1,Thuwal,3.75,Medium,32.22799318,23.09992877,0.137923345,0.609722078,22.01920099,2.328894395,3.133064932,1.10971704,0.526065861,6.433364303,1.966553112,0.008802519,0.1834944,0.05425438,1.38760773,0.02364921,8.93246187,2.614379085,10.78431373,10.5664488,16.99346406,11.54684096,65.79520698,6,0.563310867,3.679651324,526,28,1.796236996,0.001339941,0.015528634,0.12626652,0.20993025,1.10E-04,7.34E-05,0.112389868,0.005396476,0.024375918,0.04517254,3.85E-04,0.03314978,0.155800294,7.16E-04
SNAZ_T2,SNAZ,T2,Thuwal,4,Medium,32.22799318,23.09992877,0.1320353,0.373108208,21.06690778,2.210166767,3.26702833,0.835082255,0.18997388,5.31143259,1.937914406,0.0014815,0.15917021,0.04108205,1.41630111,0.02753459,29.54545455,0.757575758,14.28571429,3.46320346,21.64502165,10.93073593,80.1948052,6,1.423883331,3.722710616,639,23,1.835047114,0.002477974,0.016005874,0.125532305,0.199449339,7.34E-05,1.65E-04,0.109471366,0.004900881,0.023953744,0.044823789,2.02E-04,0.030011013,0.145209251,0.001945668
SNAZ_T3,SNAZ,T3,Thuwal,4,Medium,32.22799318,23.09992877,0.1320353,0.373108208,20.99918765,2.286758733,3.169171405,0.897067096,2.606620634,5.353371243,1.904955321,0.0014815,0.19586238,0.02895306,0.69514071,0.02298586,34.01287554,0.107296137,13.19742489,3.64806867,29.72103004,7.832618026,88.84120172,6,1.148355345,3.655249776,512,33,1.783663155,0.001431718,0.015418502,0.130194567,0.216005874,9.18E-05,0,0.115271659,0.005066079,0.026082966,0.048311307,1.47E-04,0.033259912,0.157709251,5.14E-04
THLN_T1,THLN,T1,Thuwal,6,Medium,32.99749316,3.63471755,0.110883869,0.427825362,21.65,2.42,3.36,1.05,0.78,6.58,1.98,0.084104858,0.50753319,0.06586169,1.16173427,0.01620487,3.18133616,0.212089077,1.48462354,0.31813362,24.17815482,0.106044539,29.5864263,2,0.636514262,3.519278135,498,28,1.733911439,0.0030837,0.011049927,0.176082966,0.196365639,1.84E-05,2.20E-04,0.148017621,0.009673275,0.025220264,6.24E-04,0.001578561,0.022889134,0.160223935,0.001578561
THLN_T2,THLN,T2,Thuwal,6,Medium,32.99749316,3.63471755,0.114031002,0.447334826,20.54,2.35,3.06,0.96,0.99,6.23,1.97,0.0014815,0.44760702,0.06733978,0.93629557,0.00981348,1.06044539,0.212089077,2.75715801,0.21208908,17.07317073,0.742311771,22.16330858,1,9.85E-08,3.489951338,503,23,1.728114803,0.004038179,0.010829662,0.167767988,0.19616373,1.84E-05,2.20E-04,0.141189427,0.009728341,0.027514684,4.04E-04,0.001707048,0.022228341,0.162096182,9.36E-04
THLN_T3,THLN,T3,Thuwal,6,Medium,32.99749316,3.63471755,0.130628377,0.411124528,21.06,2.56,3.18,2.09,0.88,5.95,1.92,0.042793179,0.47407227,0.07725163,1.08191449,0.00454874,0,0,0.10416667,0.3125,6.875,0,7.29166667,1,9.85E-08,3.500581309,478,30,1.767485302,0.005047724,0.010407489,0.155304699,0.191391336,5.51E-05,1.47E-04,0.128579295,0.009324523,0.027624816,1.10E-04,0.002881791,0.018942731,0.146071953,0.001450073
